OG	raw_p	FDR_p	Socmean-Solmean	taxa
OG_12883	0.003436	0.3789	53.05	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15032	0.003534	0.3829	10.75	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12503	0.003586	0.3829	25.04	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12061	0.003621	0.3829	5.027	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_19047	0.00375	0.3854	41.34	AAUR,APUR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17354	0.003821	0.3854	3.589	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18013	0.003871	0.3854	-18.39	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11328	0.003911	0.3854	8.053	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18890	0.004095	0.3854	13.72	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14919	0.004096	0.3854	-13.71	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11312	0.004103	0.3854	-10.89	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13558	0.004116	0.3854	-14.88	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10853	0.004125	0.3854	-7.635	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10435	0.004275	0.3854	21.53	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17496	0.004321	0.3854	66.93	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15222	0.004325	0.3854	22.8	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16863	0.004407	0.3854	9.465	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12796	0.004431	0.3854	-26.91	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15877	0.004501	0.3854	-17.47	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11871	0.004529	0.3854	-14.43	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16372	0.004542	0.3854	-23.78	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17238	0.004588	0.3854	25.55	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18215	0.00464	0.3854	24.55	APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15582	0.004696	0.3854	5.422	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14564	0.004812	0.3854	-34.51	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_17321	0.004911	0.3854	16.69	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13840	0.004917	0.3854	3.997	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11204	0.004971	0.3854	31.37	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13310	0.004981	0.3854	27.44	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15915	0.005078	0.3854	-9.827	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13597	0.0051	0.3854	4.649	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16742	0.005119	0.3854	-3.107	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16310	0.005215	0.3854	-3.85	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14893	0.005218	0.3854	-4.481	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13569	0.005292	0.3854	3.667	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15960	0.005313	0.3854	14.05	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11525	0.005332	0.3854	22.56	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12475	0.005371	0.3854	1.142	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14902	0.005418	0.3854	4.565	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_18025	0.005478	0.3854	-30.25	AAUR,APUR,AVIR,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13724	0.005806	0.3854	119.4	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13921	0.005832	0.3854	6.619	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_12675	0.005942	0.3854	-8.376	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10250	0.005996	0.3854	15.41	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15687	0.006109	0.3854	-9.37	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16061	0.006197	0.3854	-22.35	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14703	0.006232	0.3854	3.944	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16343	0.006243	0.3854	-7.789	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_10186	0.006268	0.3854	25.41	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13761	0.006442	0.3854	-9.14	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_11830	0.006448	0.3854	-90.06	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_15217	0.006473	0.3854	10.84	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13682	0.006491	0.3854	8.118	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_19273	0.00654	0.3854	22.68	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LVIE
OG_14565	0.006571	0.3854	-6.539	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_13769	0.006593	0.3854	-3.861	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
