OG	Name.AAUR	Sociality.AAUR	antTPM.AAUR	headTPM.AAUR	dufTPM.AAUR	abdTPM.AAUR	Name.APUR	Sociality.APUR	antTPM.APUR	headTPM.APUR	dufTPM.APUR	abdTPM.APUR	Name.LCAL	Sociality.LCAL	antTPM.LCAL	headTPM.LCAL	dufTPM.LCAL	abdTPM.LCAL	Name.LFIG	Sociality.LFIG	antTPM.LFIG	headTPM.LFIG	dufTPM.LFIG	abdTPM.LFIG	Name.LLEU	Sociality.LLEU	antTPM.LLEU	headTPM.LLEU	dufTPM.LLEU	abdTPM.LLEU	Name.LMAR	Sociality.LMAR	antTPM.LMAR	headTPM.LMAR	dufTPM.LMAR	abdTPM.LMAR	Name.LPAU	Sociality.LPAU	antTPM.LPAU	headTPM.LPAU	dufTPM.LPAU	abdTPM.LPAU	Name.LVIE	Sociality.LVIE	antTPM.LVIE	headTPM.LVIE	dufTPM.LVIE	abdTPM.LVIE	TPMmax.8sp	TPMmax.4social	TPMmax.4solitary	tau.8sp4tissues	tau.4soc4tissues	tau.4sol4tissues
OG_16593	AAUR_04506-RA	soc	25.3746	30.9183	40.4732	35.7289	APUR_01296-RA	sol	26.7801	40.1984	61.2636	34.6579	LCAL_02257-RA	soc	26.4989	24.6685	49.4456	27.051	LFIG_02600-RA	sol	21.5653	33.0926	27.606	39.2832	LLEU_02459-RA	sol	21.2234	32.1509	42.2333	44.8452	LMAR_03176-RA	soc	23.5361	18.2648	34.0717	22.2392	LPAU_00229-RA	soc	28.0071	23.5628	34.7276	29.745	LVIE_08602-RA	sol	15.7873	17.5014	55.7916	31.9384	61.2636	49.4456	61.2636	0.4951	0.4272	0.4726
OG_16258	AAUR_02292-RB	soc	13.789	7.9452	16.2521	7.6356	APUR_01795-RA	sol	21.2572	8.2451	9.5596	7.5459	LCAL_05117-RA	soc	20.145	4.7219	13.5363	6.6755	LFIG_10581-RA	sol	22.0026	12.0834	10.7881	6.4441	LLEU_04455-RA	sol	16.5983	9.7664	14.5091	7.5502	LMAR_09301-RA	soc	11.8178	7.9002	14.046	8.602	LPAU_01623-RA	soc	21.4889	10.1572	12.5279	9.3216	LVIE_00400-RA	sol	25.3827	8.3375	10.6232	7.118	25.3827	21.4889	25.3827	0.5438	0.4879	0.5471
OG_17859	AAUR_10807-RA	soc	60.4606	56.7263	54.7667	86.5941	APUR_05838-RA	sol	54.4403	33.511	18.4266	69.9252	LCAL_10127-RA	soc	53.8944	35.6656	28.9753	36.9119	LFIG_10946-RA	sol	80.8858	68.6815	98.5343	68.7278	LLEU_09947-RA	sol	51.6966	29.6719	29.211	28.7248	LMAR_04850-RA	soc	69.8038	39.5378	64.3882	48.2003	LPAU_17547-RA	soc	73.2894	42.2675	41.4086	83.6873	LVIE_07007-RA	sol	54.5813	38.5716	49.9625	60.1871	98.5343	86.5941	98.5343	0.4717	0.3918	0.5012
OG_16837	AAUR_07610-RA	soc	18.9756	26.7039	39.5647	35.3247	APUR_00106-RB	sol	8.2274	17.9683	6.1198	13.9773	LCAL_07600-RB	soc	35.4858	10.6509	9.5892	25.9823	LFIG_08353-RA	sol	27.0529	26.0375	543.4565	45.5467	LLEU_00764-RA	sol	4.9739	2.871	1.5421	20.3159	LMAR_03461-RB	soc	19.9802	4.8677	183.7846	5.6286	LPAU_04553-RA	soc	16.4005	2.6443	19.986	7.2434	LVIE_07853-RA	sol	43.0409	16.0297	17.4435	27.4943	543.4565	183.7846	543.4565	0.956	0.8988	0.9658
OG_15834	AAUR_06264-RA	soc	58.6238	16.0783	4.1988	7.9531	APUR_03854-RA	sol	34.5224	8.7754	5.3523	6.7529	LCAL_07161-RA	soc	43.0988	21.8732	144.3697	39.7671	LFIG_04512-RA	sol	36.2773	15.0526	83.6799	15.1081	LLEU_07183-RA	sol	31.628	17.1372	40.5049	7.6298	LMAR_02161-RA	soc	25.4238	49.2479	6.3162	27.1242	LPAU_09251-RA	soc	47.6818	24.9777	188.6836	25.0248	LVIE_01672-RA	sol	48.2948	29.2954	35.7468	9.424	188.6836	188.6836	83.6799	0.8347	0.8086	0.7279
OG_13933	AAUR_01550-RA	soc	14.6795	23.0659	15.2079	14.2473	APUR_05126-RA	sol	18.3788	29.002	17.3165	21.5582	LCAL_01712-RA	soc	22.8735	20.1099	30.161	17.4248	LFIG_01628-RA	sol	10.4374	11.3493	15.031	11.8344	LLEU_03061-RA	sol	24.3304	34.8865	28.1571	19.2665	LMAR_00477-RA	soc	23.716	29.2711	27.0906	16.7289	LPAU_05895-RA	soc	20.7663	18.2959	18.3762	18.8176	LVIE_02854-RA	sol	18.2538	18.5269	25.03	19.6351	34.8865	30.161	34.8865	0.4277	0.3354	0.4494
OG_13777	AAUR_01167-RA	soc	33.2256	23.023	31.3837	11.2314	APUR_04792-RB	sol	30.0472	21.5996	14.3233	14.8754	LCAL_01741-RB	soc	29.2652	26.7931	6.733	23.7529	LFIG_01594-RA	sol	34.7525	28.88	11.5877	11.4311	LLEU_03431-RB	sol	37.6105	45.9285	20.3093	22.5516	LMAR_00511-RA	soc	20.2733	52.06	8.2554	33.0953	LPAU_05821-RC	soc	27.4018	48.1246	23.5283	36.0734	LVIE_02868-RB	sol	24.6233	31.2003	23.7384	8.3675	52.06	52.06	45.9285	0.5266	0.5106	0.5124
OG_16457	AAUR_04242-RA	soc	7.1305	6.6557	6.3806	5.6602	APUR_01363-RA	sol	24.0603	19.2849	22.4764	25.3707	LCAL_02282-RA	soc	7.0132	7.7769	4.6932	6.1229	LFIG_02624-RA	sol	22.7502	23.7369	17.1865	23.6856	LLEU_02436-RA	sol	38.7685	32.8421	46.7931	27.9673	LMAR_03151-RA	soc	11.7685	7.974	7.8501	7.9503	LPAU_00257-RA	soc	16.6661	22.186	9.2358	15.1926	LVIE_08574-RA	sol	30.3915	32.6128	28.7407	16.5107	46.7931	22.186	46.7931	0.6301	0.6152	0.4495
OG_16477	AAUR_04278-RA	soc	16.1595	23.384	14.8204	84.4183	APUR_01327-RA	sol	9.2219	22.4102	5.0827	109.0425	LCAL_10942-RA	soc	6.7357	11.9821	10.9762	8.2998	LFIG_03149-RA	sol	9.1466	23.5376	7.2399	25.9823	LLEU_02100-RA	sol	15.552	20.6621	21.714	23.6587	LMAR_10272-RA	soc	15.3647	20.1523	18.2286	17.6523	LPAU_00775-RA	soc	17.2634	24.5436	27.0527	18.6068	LVIE_09140-RA	sol	13.1864	36.7319	42.2333	31.4891	109.0425	84.4183	109.0425	0.8096	0.8016	0.8118
OG_11626	AAUR_00403-RA	soc	0.594	1.9782	0.1344	0.0797	APUR_08318-RA	sol	1.1791	0.986	0.3669	0.2071	LCAL_10421-RA	soc	0.0573	1.6235	0.0978	0.3547	LFIG_07022-RA	sol	0.935	1.3191	0.0871	0.2951	LLEU_08234-RA	sol	1.0992	1.3363	0.0129	0.0889	LMAR_08537-RA	soc	0.4067	1.4978	0	0.0377	LPAU_10702-RA	soc	0.3189	1.0042	0.0096	0.2678	LVIE_09669-RA	sol	0.5229	1.7944	0.2432	0.218	1.9782	1.9782	1.7944	0.7199	0.7815	0.6695
OG_12088	AAUR_04326-RA	soc	34.603	22.228	1.703	3.0984	APUR_01076-RB	sol	30.1494	20.5965	0.7012	0.8984	LCAL_01993-RA	soc	25.3557	18.2364	0.4071	0.9317	LFIG_03220-RA	sol	15.9332	9.6465	0	0.7367	LLEU_02023-RB	sol	46.997	17.9578	0.1287	0.1267	LMAR_11690-RA	soc	25.2442	34.9184	0.1344	0.4869	LPAU_00854-RB	soc	27.0529	40.2269	0.3755	1.3055	LVIE_09249-RB	sol	25.7397	35.9767	0	0.7409	46.997	40.2269	46.997	0.7284	0.675	0.774
OG_12108	AAUR_02934-RA	soc	21.3461	39.3138	20.2453	25.496	APUR_06259-RA	sol	17.7521	24.1701	26.8496	16.1735	LCAL_10823-RA	soc	12.5708	15.537	24.6001	16.0972	LFIG_05379-RA	sol	14.503	19.8482	12.9912	18.0015	LLEU_05744-RA	sol	17.4067	27.5695	20.8049	19.8678	LMAR_01518-RA	soc	18.3932	20.2976	11.7766	19.7961	LPAU_10068-RA	soc	7.0345	10.9378	12.0618	10.034	LVIE_01070-RA	sol	10.389	16.7941	15.1508	13.8053	39.3138	39.3138	27.5695	0.5583	0.5825	0.3604
OG_15196	AAUR_03038-RA	soc	102.8409	167.7308	121.6069	139.4075	APUR_06150-RA	sol	72.9269	197.8403	217.1986	155.4387	LCAL_00869-RA	soc	77.4028	127.1153	168.5432	115.3223	LFIG_05610-RA	sol	32.3105	101.2911	30.141	98.817	LLEU_05627-RA	sol	84.688	126.1078	101.9273	132.0316	LMAR_05677-RA	soc	83.4402	149.1379	60.3442	149.5436	LPAU_09794-RA	soc	39.7076	58.3587	36.9785	44.1738	LVIE_00810-RA	sol	73.1142	119.073	116.5372	111.4065	217.1986	168.5432	217.1986	0.5254	0.4173	0.5231
OG_10879	AAUR_05691-RD	soc	36.3151	13.4925	14.6208	16.6343	APUR_02709-RA	sol	29.6967	13.3992	20.3435	15.9623	LCAL_03064-RC	soc	29.0951	15.9182	14.1713	20.8564	LFIG_07370-RA	sol	30.491	15.7192	24.9222	13.9508	LLEU_06442-RA	sol	23.2837	21.5322	20.6359	18.7027	LMAR_09113-RA	soc	24.885	25.5571	26.6248	24.4973	LPAU_07650-RB	soc	27.6255	21.7352	25.1451	30.2319	LVIE_04738-RE	sol	33.4743	19.1843	29.8077	15.4733	36.3151	36.3151	33.4743	0.398	0.3922	0.3764
OG_17352	AAUR_01221-RA	soc	2.7028	6.0153	1.8127	1.2251	APUR_04732-RA	sol	1.6216	4.9042	0.1766	10.8638	LCAL_01417-RA	soc	1.7843	8.7967	0.8327	3.1466	LFIG_02035-RA	sol	0.9385	10.779	1.6373	2.8739	LLEU_03649-RA	sol	3.9584	12.9693	0.6076	0.4816	LMAR_00091-RA	soc	19.816	4.4715	0.457	0.5671	LPAU_01119-RA	soc	3.3617	11.0921	2.1054	11.0175	LVIE_11671-RA	sol	0.1294	23.7853	0	0.9637	23.7853	19.816	23.7853	0.8208	0.8002	0.8517
OG_15335	AAUR_03350-RA	soc	16.0802	21.8639	18.1871	28.2167	APUR_05868-RA	sol	11.491	32.0208	31.3988	35.0883	LCAL_10715-RA	soc	44.5238	46.9356	58.397	66.0656	LFIG_05023-RA	sol	10.773	18.085	67.5866	27.925	LLEU_05829-RA	sol	31.2988	33.2338	24.1401	38.9185	LMAR_10202-RA	soc	51.1454	31.2977	22.0206	79.9655	LPAU_10418-RA	soc	32.3971	20.8849	23.0571	26.072	LVIE_09445-RA	sol	22.4625	33.1619	34.7276	24.1211	79.9655	79.9655	67.5866	0.6032	0.5772	0.5967
OG_12548	AAUR_00510-RA	soc	41.1423	26.1698	17.533	15.7381	APUR_08211-RA	sol	15.4764	18.1713	12.4205	11.0417	LCAL_09573-RA	soc	38.8801	22.5396	15.1927	15.4352	LFIG_03437-RA	sol	60.8822	25.236	23.251	24.7272	LLEU_09591-RA	sol	23.1932	23.5452	17.0604	17.5364	LMAR_00789-RB	soc	33.5535	23.8822	22.4091	22.0945	LPAU_06232-RA	soc	24.1598	17.9683	14.905	17.3704	LVIE_05520-RA	sol	29.1246	22.199	24.0243	13.6846	60.8822	41.1423	60.8822	0.6452	0.4688	0.6707
OG_12090	AAUR_02617-RA	soc	12.9474	20.772	6.5817	14.5906	APUR_06560-RA	sol	6.2563	17.2137	5.8188	11.3101	LCAL_00936-RA	soc	7.3042	10.4501	4.7368	13.8574	LFIG_05544-RA	sol	17.1922	17.8278	7.8007	29.3768	LLEU_05500-RA	sol	13.3384	22.2367	9.5645	18.874	LMAR_05615-RA	soc	6.8793	7.2657	3.2669	12.8385	LPAU_09857-RA	soc	12.7971	11.3072	5.5711	10.9311	LVIE_00875-RA	sol	12.6476	13.1824	5.3678	15.421	29.3768	20.772	29.3768	0.6089	0.5464	0.5596
OG_15311	AAUR_03294-RA	soc	5.1713	8.4893	1.6524	3.556	APUR_04541-RA	sol	4.127	7.1921	0.0761	6.5249	LCAL_00943-RA	soc	0.9156	6.0054	2.1277	5.2294	LFIG_05539-RA	sol	0.9014	5.2472	0.5797	5.6357	LLEU_05506-RA	sol	2.3312	12.4914	11.4164	6.1353	LMAR_05608-RA	soc	2.0374	6.0242000000000004	0.885	2.66	LPAU_09864-RA	soc	0.2556	15.1666	0.4209	6.116	LVIE_00881-RA	sol	2.2971	13.186	7.107	5.0329	15.1666	15.1666	13.186	0.6983	0.7734	0.6102
